week,km_total,run_count,avg_pace,max_run_km,avg_run_km,long_run_ratio,efficiency
2024-07-08/2024-07-14,5.01,1.0,5.99736116108912,5.01,5.01,1.0,0.016072874493927126
2024-07-15/2024-07-21,13.584800000000001,3.0,5.714431101232857,5.783600000000001,4.528266666666667,1.2772216006124493,0.01699087555814405
2024-07-22/2024-07-28,14.6412,4.0,5.843676249029233,5.016,3.6603,1.3703794770920417,0.01666082895504962
2024-07-29/2024-08-04,22.5828,4.0,6.425799961808573,11.1287,5.6457,1.9711816072409092,0.015726084997747414
2024-08-05/2024-08-11,17.5256,3.0,7.585000137440375,11.1315,5.841866666666667,1.9054697128771625,0.01412776412776413
2024-08-12/2024-08-18,15.6353,3.0,6.068242936108136,8.818100000000001,5.211766666666667,1.6919598600602486,0.01593623188405797
2024-08-19/2024-08-25,21.0556,4.0,5.86090981664179,10.1501,5.2639,1.928247117156481,0.0181983708672736
2024-08-26/2024-09-01,16.232599999999998,3.0,5.82327597163263,10.0184,5.410866666666666,1.8515333341547258,0.017034099920697862
2024-09-02/2024-09-08,19.9475,2.0,5.569645598965791,10.081100000000001,9.97375,1.010763253540544,0.017401162790697675
2024-09-09/2024-09-15,16.4365,2.0,5.645415487700948,10.837,8.21825,1.3186505642928847,0.017062554050158548
2024-09-16/2024-09-22,27.3497,3.0,5.354790496809939,10.1,9.116566666666666,1.107873212503245,0.01826342035787621
2024-09-23/2024-09-29,10.1191,2.0,5.2580992566615095,5.1006,5.05955,1.008113369766086,0.01856268221574344
2024-09-30/2024-10-06,13.9494,3.0,5.141485757096489,7.0827,4.6498,1.5232268054539981,0.019185404339250492
2024-10-07/2024-10-13,0.0,0.0,5.141485757096489,,,1.5232268054539981,0.019185404339250492
2024-10-14/2024-10-20,0.0,0.0,5.141485757096489,,,1.5232268054539981,0.019185404339250492
2024-10-21/2024-10-27,36.370400000000004,4.0,5.555007904521575,16.1734,9.092600000000001,1.778743153773398,0.017219670876387292
2024-10-28/2024-11-03,4.209,1.0,5.378078950198988,4.209,4.209,1.0,0.017954808806488993
2024-11-04/2024-11-10,24.469499999999996,3.0,5.8181130715977885,10.8868,8.1565,1.3347391650830627,0.017132060461416073
2024-11-11/2024-11-17,21.999699999999997,3.0,5.294412926036867,10.770299999999999,7.333233333333332,1.468697300417733,0.018357919254658385
